Releve_number,Cover_abundance_scale,Date_yearmonthday,Syntaxon_code,Releve_area_m2,Altitude_m,Aspect_degrees,Slope_degrees,Cover_total_perc,Cover_tree_layer_perc,Cover_shrub_layer_perc,Cover_herb_layer_perc,Cover_moss_layer_perc,Height_high_tree_layer_m,Height_high_shrub_layer_m,Height_high_herb_layer_cm,Max_height_herb_layer_cm,Mosses_identified_yn,Lichens_identified_yn,Remarks,Coordinate_system,Syntaxon_MORAVEC,Resurvey,For_evy,Rs_project,Rs_site,Rs_plot,Rs_observ,Plot_shape,Manipulate,Maniptyp,Loc_method,Longitude,Latitude,deg_long,deg_lat,Precision,Locality,Ceba_grid,Field.nr,Habitat,Geology,Soil,Bias_gps,Oldtvnr,Photo_nr,Soil_ph,protected,site,ESY,ESY0
791323,2,20220714,NA,16,310,160,13,0,0,0,95,10,0,0,20,90,N,N,"Viola riviniana = V. riviniana agg., Boraginaceae r",1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,61,2022,square,N,NA,6,170246.303,490923.658,17.04619444,49.15656944,3,"Černčín, PR Hašky, cca 1,2 km V od kaple v obci",NA,TKK061,"stepní trávník ve svahu, mozaikovitá seč",NA,hlinitá,3,403488,0852-0867,7.67,Y,24,THE03,THE03
403487,1,NA,26AE,16,290,135,10,-1,0,0,96,15,0,0,0,0,Y,Y,Inulo (ensifoliae) - Caricetum humilis,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,62,1980,NA,NA,NA,NA,170248.07,490922.23,17.04668611,49.156175,0,"Čerčín - stráň při okraji lesa Černecký hájek (JV expozice), cca 1,3 km V obce.",NA,NA,NA,NA,NA,0,0,NA,0,Y,24,+,+
791324,2,20220714,NA,16,291,100,17,0,0,0,90,25,0,0,30,120,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,62,2022,square,N,NA,6,170249.233,490926.468,17.04700833,49.15735,3,"Černčín, PR Hašky, cca 1,2 km V od kaple v obci",NA,TKK062,"stepní trávník ve svahu, mozaikovitá seč, v dolní části svahu patrné zarůstání dřevinami",NA,hlinitá,3,403487,0904-0912,7.7,Y,24,THE03,+
403608,1,NA,NA,16,290,135,20,-1,0,0,100,20,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,63,1980,NA,NA,NA,NA,170247.65,490921.92,17.04656944,49.15608889,0,"Černčín - stráň při okraji lesa Černecký hájek, cca 1,3 km V obce.",NA,NA,NA,NA,NA,0,0,NA,0,Y,24,THE03,THE03
791325,2,20220714,NA,16,284,120,20,0,0,0,90,10,0,0,30,120,N,N,Chamaecytisus ratisbonensis / Cytisus nigricans r,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,63,2022,square,N,NA,6,170253.018,490926.208,17.04805833,49.15727778,3,"Černčín, PR Hašky, cca 1,2 km V od kaple v obci",NA,TKK063,"stepní trávník ve svahu, mozaikovitá seč, okolo soliterní keře, nora",NA,hlinitá,3,403608,0913-0926,7.66,Y,24,THE03,THE03
403607,1,NA,NA,16,290,135,10,-1,0,0,98,20,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,64,1980,NA,NA,NA,NA,170247.8,490922.02,17.04661111,49.15611667,0,"Černčín - stráň při okraji lesa Černecký hájek, cca 1,3 km V obce.",NA,NA,NA,NA,NA,0,0,NA,0,Y,24,THE03,THE03
791326,2,20220714,NA,16,319,120,10,0,0,0,100,5,0,0,30,120,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,64,2022,square,N,NA,6,170244.487,490925.46,17.04568889,49.15707222,3,"Černčín, PR Hašky, cca 1,2 km V od kaple v obci",NA,TKK064,"stepní trávník ve svahu, mozaikovitá seč, okolo soliterní keře, lesíky",NA,hlinitá,3,403607,0927-0938,7.65,Y,24,THE03,THE03
403489,1,NA,26AE,16,290,135,15,-1,0,0,100,5,0,0,0,0,Y,Y,Inulo (ensifoliae) - Caricetum humilis,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,65,1980,NA,NA,NA,NA,170248.03,490922.12,17.046675,49.15614444,0,"Čerčín - stráň při okraji lesa Černecký hájek, cca 1,3 km V obce.",NA,NA,NA,NA,NA,0,0,NA,0,Y,24,THE03,THE03
791327,2,20220714,NA,16,293,130,12,0,0,0,95,10,0,0,25,120,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,65,2022,square,N,NA,6,170247.278,490923.856,17.04646389,49.156625,3,"Černčín, PR Hašky, cca 1,2 km V od kaple v obci",NA,TKK065,"stepní trávník ve svahu, mozaikovitá seč",NA,hlinitá,3,403489,0939-0949,7.61,Y,24,THE03,THE03
403646,1,NA,NA,16,290,135,3,-1,0,0,100,15,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,66,1980,NA,NA,NA,NA,170247.78,490921.92,17.04660556,49.15608889,0,"Černčín - stráň při okraji lesa Černecký hájek, cca 1,3 km V obce.",NA,NA,NA,NA,NA,0,0,NA,0,Y,24,THE03,THE03
791328,2,20220714,NA,16,315,120,5,0,0,0,90,15,0,0,40,130,N,N,Anchusa officinalis / Nonea pulla r,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,66,2022,square,N,NA,6,170243.409,490926.336,17.04538889,49.15731389,3,"Černčín, PR Hašky, cca 1,2 km V od kaple v obci",NA,TKK066,"stepní trávník zarůstající Calamagrostis epigejos, mezi pásy křovin, mozaikovitá seč",NA,hlinitá,3,403646,0950-0957,7.66,Y,24,THE,THE03
403609,1,NA,NA,16,280,315,10,-1,0,0,100,60,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,67,1980,NA,NA,NA,NA,170309.84,490912.47,17.05273333,49.15346389,0,"Milonice - stráně při okraji Milonického lesa, cca 1,4 km ZJZ obce.",NA,NA,NA,NA,NA,0,0,NA,0,Y,25,THE03,THE03
791329,2,20220716,NA,16,276,310,15,0,0,0,98,50,0,0,30,90,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,67,2022,square,N,NA,6,170311.248,490913.037,17.05312222,49.15361944,3,"Milonice, PP Roviny, cca 1,4 km ZJZ od kostela sv. Petra a Pavla",NA,TKK067,"stepní trávník v mírném svahu, nad plochou prudší svah, pásy křovin, mozaikovitá seč",NA,hlinitá,3,403609,0970-0988,7.81,Y,25,THE03,THE03
403551,1,NA,NA,16,280,270,20,-1,0,0,100,45,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,68,1980,NA,NA,NA,NA,170309.84,490912.72,17.05273333,49.15353333,0,"Milonice - stráně při okraji Milonického lesa, cca 1,4 km ZJZ obce.",NA,NA,NA,NA,NA,0,0,NA,0,Y,25,THE03,THE03
791330,2,20220716,NA,16,282,240,20,0,0,0,95,25,0,0,30,130,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,68,2022,square,N,NA,6,170314.364,490914.717,17.05398889,49.15408611,3,"Milonice, PP Roviny, cca 1,3 km ZJZ od kostela sv. Petra a Pavla",NA,TKK068,"stepní trávník mezi pásy křovin, mozaikovitá seč",NA,hlinitá,3,403551,0989-0005,7.57,Y,25,THE03,THE03
403491,1,NA,26AE,16,280,180,25,-1,0,0,90,0,0,0,0,0,Y,Y,Inulo (ensifoliae) - Caricetum humilis,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,69,1980,NA,NA,NA,NA,170311.66,490918.36,17.05323889,49.1551,0,"Milonice - stráně při okraji Milonického lesa, cca 1,4 km ZJZ obce.",NA,NA,NA,NA,NA,0,0,NA,0,Y,25,THE03,THE03
791331,2,20220716,NA,16,279,180,20,0,0,0,95,10,0,0,20,90,N,N,Viola cf. hirta /,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,69,2022,square,N,NA,6,170308.331,490918.032,17.05231389,49.15500833,3,"Milonice, PP Roviny, cca 1,4 km ZJZ od kostela sv. Petra a Pavla",NA,TKK069,"stepní trávník ve svahu, kolem soliterní keře, pod plochou nora, mozaikovitá seč",NA,hlinitá,3,403491,0027-0039,7.73,Y,25,THE03,THE03
403490,1,NA,26AE,16,280,180,27,-1,0,0,90,1,0,0,0,0,Y,Y,Inulo (ensifoliae) - Caricetum humilis,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,70,1980,NA,NA,NA,NA,170311.68,490918.35,17.05324444,49.15509722,0,"Milonice - stráně při okraji Milonického lesa, cca 1,4 km ZJZ obce.",NA,NA,NA,NA,NA,0,0,NA,0,Y,25,THE03,THE03
791332,2,20220716,NA,16,276,140,25,0,0,0,95,25,0,0,20,100,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,70,2022,square,N,NA,6,170310.214,490916.685,17.05283611,49.15463333,3,"Milonice, PP Roviny, cca 1,4 km ZJZ od kostela sv. Petra a Pavla",NA,TKK070,"stepní trávník ve svahu, kolem soliterní keře, mozaikovitá seč",NA,hlinitá,3,403490,0040-0053,7.77,Y,25,THE03,THE03
403552,1,NA,NA,16,280,225,5,-1,0,0,100,40,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,71,1980,NA,NA,NA,NA,170309.92,490912.57,17.05275556,49.15349167,0,"Milonice - stráně při okraji Milonického lesa, cca 1,4 km ZJZ obce.",NA,NA,NA,NA,NA,0,0,NA,0,Y,25,THE03,THE03
791333,2,20220716,NA,16,289,190,15,0,0,0,95,5,0,0,40,130,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,71,2022,square,N,NA,6,170312.76,490918.856,17.05354444,49.15523611,3,"Milonice, PP Roviny, cca 1,3 km ZJZ od kostela sv. Petra a Pavla",NA,TKK071,"stepní trávník ve svahu, kolem soliterní keře, lehce zarůstající juvenilními keři, dost stařiny",NA,hlinitá,3,403552,0054-0071,7.78,Y,25,THE03,THE03
403497,1,NA,26AE,16,250,225,25,-1,0,0,90,25,0,0,0,0,Y,Y,Inulo (ensifoliae) - Caricetum humilis,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,72,1980,NA,NA,NA,NA,165657.72,490855.9,16.94936667,49.14886111,0,"Křižanovice - stráň, cca 1,1 km VSV od nádraží.",NA,NA,NA,NA,NA,0,0,NA,0,Y,26,THE03,THE03
791334,2,20220717,NA,16,255,240,23,0,0,0,80,10,0,0,20,120,N,N,Cirsium cf. vulgare,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,72,2022,square,N,NA,6,165657.862,490853.83,16.94940556,49.14828611,3,"Křižanovice, PP Člupy, cca 1,1 km VSV od železniční stanice",NA,TKK072,"stepní trávník v horní části svahu, pastva ovcí a koz",NA,hlinitá,3,403497,0087-0102,7.85,Y,26,THE01,THE03
403501,1,NA,26AE,16,260,135,30,-1,0,0,98,15,0,0,0,0,Y,Y,Inulo (ensifoliae) - Caricetum humilis,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,73,1980,NA,NA,NA,NA,165730.87,490901.48,16.958575,49.15041111,0,"Marefy - travnaté stráně v okolí meruňkového sadu, cca 1 km Z od nádr. (SPR Šévy).",NA,NA,NA,NA,NA,0,0,NA,0,Y,26,THE,THE
791335,2,20220717,NA,16,283,145,25,0,0,0,70,20,0,0,15,90,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,73,2022,square,N,NA,6,165727.292,490908.33,16.95758056,49.15231389,3,"Marefy, PP Člupy, cca 1,2 km ZSZ od železniční stanice",NA,TKK073,"stepní trávník v prudkém svahu, pastva ovcí a koz",NA,hlinitá,3,403501,"0111-0115, 0118-0128",7.83,Y,26,THE03,THE
403484,1,NA,26AE,16,260,135,8,-1,0,0,100,10,0,0,0,0,Y,Y,Inulo (ensifoliae) - Caricetum humilis,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,74,1980,NA,NA,NA,NA,165734.79,490909.64,16.95966389,49.15267778,0,"Marefy - travnaté stráně v okolí meruňkového sadu (J,V,Z expozice), cca 1 km Z (-SSZ) od nádraží.",NA,NA,NA,NA,NA,0,0,NA,0,Y,26,THE03,THE03
791336,2,20220717,NA,16,292,130,10,0,0,0,80,5,0,0,15,70,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,74,2022,square,N,NA,6,165731.796,490912.068,16.95883056,49.15335,3,"Marefy, PP Člupy, cca 1,1 km SZ od železniční stanice",NA,TKK074,"stepní trávník v horní části svahu, pastva ovcí a koz",NA,hlinitá,3,403484,0132-0142,7.82,Y,26,THG,THE03
403502,1,NA,26AE,16,260,225,30,-1,0,0,93,10,0,0,0,0,Y,Y,Inulo (ensifoliae) - Caricetum humilis,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,75,1980,NA,NA,NA,NA,165730.83,490901.44,16.95856389,49.1504,0,"Marefy - travnaté stráně v okolí meruňkového sadu, cca 1 km Z od nádr. (SPR Šévy).",NA,NA,NA,NA,NA,0,0,NA,0,Y,26,THD01,THD01
791337,2,20220717,NA,16,280,200,30,0,0,0,70,2,0,0,25,90,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,75,2022,square,N,NA,6,165732.206,490910.563,16.95894444,49.15293333,3,"Marefy, PP Člupy, cca 1,1 km SZ od železniční stanice",NA,TKK075,"stepní trávník v prudkém svahu, pastva ovcí a koz, v okolí občas juvenilní keře, nad plochou nora",NA,hlinitá,3,403502,0143-0157,7.92,Y,26,THD01,THD01
403635,1,NA,NA,16,280,180,10,-1,0,0,90,5,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,76,1980,NA,NA,NA,NA,170033.3,490705.34,17.00925,49.11815,0,"Kloboučky - zarůstající stráňky, cca 1,5 km J od obce.",NA,NA,NA,NA,NA,0,0,NA,0,N,27,THE03,THE03
791338,2,20220718,NA,16,280,240,13,0,0,10,90,30,0,1,50,140,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,76,2022,square,N,NA,6,170032.058,490706.472,17.00890278,49.11846389,3,"Kloboučky, zarůstající stráňky, cca 1,5 km J od kaple v obci",NA,TKK076,"zarůstající stráňka, okus zvěří, dost stařiny, kousek od plochy nora, kolem křoviny",NA,hlinitá,3,403635,0158-0169,7.71,N,27,THE,THE03
403602,1,NA,NA,16,280,180,35,-1,0,0,97,10,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,77,1980,NA,NA,NA,NA,170033.39,490705.38,17.009275,49.11816111,0,"Kloboučky - zarůstající stráňky, cca 1,5 km J od obce.",NA,NA,NA,NA,NA,0,0,NA,0,N,27,THE,THE
791339,2,20220718,NA,16,306,250,22,0,0,0,90,20,0,0,60,170,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,77,2022,square,N,NA,6,170035.7,490705.579,17.00991667,49.11821389,3,"Kloboučky, zarůstající stráňky, cca 1,5 km J od kaple v obci",NA,TKK077,"zarůstající stráňka u krmelce, dost stařiny, kolem křoviny",NA,hlinitá,3,403602,0170-0179,7.71,N,27,THE,THE
403627,1,NA,NA,16,270,225,7,-1,0,0,100,20,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,78,1980,NA,NA,NA,NA,170707.14,490935.53,17.11865,49.15986944,0,"Dobročkovice - remízek v polích, cca 0,7 km JV (-VJV) obce.",NA,NA,NA,NA,NA,0,0,NA,0,N,28,THE,THE
791340,2,20220727,NA,16,265,220,10,0,0,10,70,25,0,1,35,110,N,N,Orobanche sp. = O. flava/kochii/alba,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,78,2022,square,N,NA,6,170709.054,490933.852,17.11918056,49.15940278,3,"Dobročkovice, remízek v polích cca 1,1 km VJV od kostela Všech svatých",NA,TKK078,"okraj remízku v polích, v okolí křoviny, zarůstání, srnky",NA,hlinitá,3,403627,0186-0200,7.78,N,28,THE,THE
403629,1,NA,NA,16,290,270,30,-1,0,0,100,30,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,79,1980,NA,NA,NA,NA,170646.57,490956.67,17.11293611,49.16574167,0,"Dobročkovice - zarůstající stráňky, cca 0,4 km SV obce.",NA,NA,NA,NA,NA,0,0,NA,0,N,29,THF,THF
791341,2,20220727,NA,16,306,285,30,0,0,30,70,30,0,1.5,40,150,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,79,2022,square,N,NA,6,170655.626,490956.382,17.11545,49.16566111,3,"Dobročkovice, křovinatá stráň na SV okraji obce, cca 0,8 km VSV od kostela Všech svatých",NA,TKK079,"zarůstajícící širokolistý trávník na okraji remízku, juvenilní keře, hodně stařiny, srnky",NA,hlinitá,3,403629,0232-0242,7.7,N,29,THF,THF
403548,1,NA,NA,16,290,225,30,-1,0,0,100,10,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,80,1980,NA,NA,NA,NA,170646.1,490956.58,17.11280556,49.16571667,0,"Dobročkovice - zarůstající stráňky, cca 0,4 km SV obce.",NA,NA,NA,NA,NA,0,0,NA,0,N,29,THF,THF
791342,2,20220727,NA,16,301,270,20,0,0,10,80,20,0,1,35,120,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,80,2022,square,N,NA,6,170657.317,490957.56,17.11591944,49.16598889,3,"Dobročkovice, křovinatá stráň na SV okraji obce, cca 0,8 km VSV od kostela Všech svatých",NA,TKK080,"zarůstajícící širokolistý trávník na mezi křovinami, juvenilní keře, hodně stařiny, srnky",NA,hlinitá,3,403548,0243-0254,7.59,N,29,THH,THF
403628,1,NA,NA,16,290,225,5,-1,0,0,98,30,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,81,1980,NA,NA,NA,NA,170646.42,490956.51,17.11289444,49.16569722,0,"Dobročkovice - zarůstající stráňky, cca 0,4 km SV obce.",NA,NA,NA,NA,NA,0,0,NA,0,N,29,THE,THE
791343,2,20220727,NA,16,300,NA,0,0,0,0,80,20,0,0,30,110,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,81,2022,square,N,NA,6,170649.919,490952.353,17.11386389,49.16454167,3,"Dobročkovice, travnatý pás mezi remízky, cca 0,8 km VSV od kostela Všech svatých",NA,TKK081,"širokolistý trávník mezi remízky, z jedné strany plochy vysekaná cesta z druhé potůček, dost stařiny",NA,hlinitá,3,403628,0255-0266,7.74,N,29,THE,THE
403644,1,NA,NA,16,320,270,10,-1,0,0,100,3,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,82,1980,NA,NA,NA,NA,171335.27,491055.86,17.22646389,49.18218333,0,"Strabenice - stráňka s opuštěným sadem, cca 0,8 km J-JJZ obce.",NA,NA,NA,NA,NA,0,0,NA,0,N,30,THE,THE
791344,2,20220811,NA,16,343,250,10,0,0,8,80,5,0,1.3,50,150,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,82,2022,square,N,NA,6,171337.27,491059.677,17.22701944,49.18324167,3,"Strabenice, zarůstající stráň cca 0,8 km JJZ od kaple Nanebevzetí Panny Marie",NA,TKK082,"trávník s Clmgr epigejos při okraji pole, zarůstání dřevinami, srnky, divočáci",NA,hlinitá,3,403644,0001-0011,7.58,N,30,THE,THE
403623,1,NA,NA,16,320,315,35,-1,0,0,100,35,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,83,1980,NA,NA,NA,NA,171340,491055,17.22777778,49.18194444,0,"Strabenice - stráňka s opuštěným sadem, cca 0,8 km J-JJZ obce.",NA,NA,NA,NA,NA,0,0,NA,0,N,30,THE,THE
791345,2,20220811,NA,16,327,310,30,0,0,10,60,3,0,2,40,100,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,83,2022,square,N,NA,6,171334.863,491101.208,17.22635,49.18366667,3,"Strabenice, zarůstající stráň cca 0,7 km JJZ od kaple Nanebevzetí Panny Marie",NA,TKK083,"stepní trávník na okraji pole, zarůstání dřevinami, srnky, divočáci",NA,hlinitá,3,403623,0012-0021,7.79,N,30,THF,THE
403556,1,NA,NA,16,320,225,8,-1,0,0,98,30,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,84,1980,NA,NA,NA,NA,171335.87,491054.59,17.22663056,49.18183056,0,"Strabenice - stráňka s opuštěným sadem, cca 0,8 km J-JJZ obce.",NA,NA,NA,NA,NA,0,0,NA,0,N,30,THF,THF
791346,2,20220811,NA,16,336,250,13,0,0,5,60,10,0,2.5,30,110,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,84,2022,square,N,NA,6,171337.725,491054.639,17.22714444,49.18184167,3,"Strabenice, zarůstající stráň cca 0,8 km JJZ od kaple Nanebevzetí Panny Marie",NA,TKK084,"stepní trávník mezi křovinami, zarůstání dřevinami, srnky, divočáci",NA,hlinitá,3,403556,0022-0034,7.81,N,30,THE,THF
403480,1,NA,21AA01,16,320,270,8,-1,0,0,100,40,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,85,1980,NA,NA,NA,NA,171335.21,491056,17.22644722,49.18222222,0,"Strabenice - stráňka s opuštěným sadem (Z-JZ expozice), cca 0,8 km J-JJZ obce.",NA,NA,NA,NA,NA,0,0,NA,0,N,30,TDA03,TDA03
791347,2,20220811,NA,16,328,230,8,0,0,5,80,3,0,2.5,40,120,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,85,2022,square,N,NA,6,171337.214,491054.327,17.22700278,49.18175556,3,"Strabenice, zarůstající stráň cca 0,8 km JJZ od kaple Nanebevzetí Panny Marie",NA,TKK085,"stepní trávník mezi křovinami, zarůstání dřevinami, kopřivami, Clmgr, srnky, divočáci",NA,hlinitá,3,403480,0035-0044,7.45,N,30,TDA,TDA03
403579,1,NA,NA,16,290,360,17,-1,0,0,100,45,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,86,1980,NA,NA,NA,NA,170742.26,490606.47,17.12840556,49.10179722,0,"Mouchnice - stráňka na S až SZ svahu, cca 1 km JJZ obce.",NA,NA,NA,NA,NA,0,0,NA,0,N,31,THF,THF
791348,2,20220812,NA,16,294,280,15,0,0,0,90,0,0,0,30,100,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,86,2022,square,N,NA,6,170741.201,490604.475,17.12811111,49.10124167,3,"Mouchnice, stráňka cca 1,3 km JJZ od kaple sv. Cyrila a Metoděje",NA,TKK086,"mezofilní trávník ve střední části S orientovaného svahu, sečené, okus zvěří",NA,hlinitá,3,403579,0001-0017,6.86,N,31,TDA,THF
403580,1,NA,NA,16,290,135,18,-1,0,0,96,30,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,87,1980,NA,NA,NA,NA,170734.9,490617.68,17.12636111,49.10491111,0,"Mouchnice - stráňky na Z a JZ svazích, cca 0,9 JZ (-JJZ) od obce.",NA,NA,NA,NA,NA,0,0,NA,0,N,32,THH,THH
791349,2,20220812,NA,16,273,160,18,0,0,0,95,10,0,0,30,110,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,87,2022,square,N,NA,6,170732.947,490614.758,17.12581667,49.10409722,3,"Mouchnice, stráňka cca 1 km JZ od kaple sv. Cyrila a Metoděje",NA,TKK087,"stepní trávník v na stráňce, v okolí sady, akáty, liščí nora, okus zvěří",NA,hlinitá,3,403580,0038-0046,7.84,N,32,THE03,THH
403589,1,NA,NA,16,280,180,25,-1,0,0,96,10,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,88,1980,NA,NA,NA,NA,170712.12,490654.1,17.12003333,49.11502778,0,"Mouchnice - JV okraj lesa Nemotínek s přilehlou stráňkou a úvozem, cca 1,1 km SZ obce.",NA,NA,NA,NA,NA,0,0,NA,0,N,33,THE,THE
791350,2,20220812,NA,16,299,140,25,0,0,2,90,10,0,1.5,80,150,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,88,2022,square,N,NA,6,170710.914,490655.588,17.11969722,49.11543889,3,"Mouchnice, JV okraj lesa Nemotínek, 1,2 km SZ od kaple sv. Cyrila a Metoděje",NA,TKK088,"světlina mezi křovinami, zarostlé Solidago gigantea, hodně stařiny, srnky, divočáci",NA,hlinitá,3,403589,0047-0058,7.76,N,33,XCB09,THE
403531,1,NA,NA,16,270,90,35,-1,0,0,92,5,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,89,1980,NA,NA,NA,NA,170749.26,490655.48,17.13035,49.11541111,0,"Mouchnice - hluboký úvoz při SZ okraji obce (cca 0,5 km SZ od středu obce).",NA,NA,NA,NA,NA,0,0,NA,0,N,34,THE01,THE01
791351,2,20220812,NA,16,269,70,20,0,0,0,90,10,0,0,15,70,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,89,2022,square,N,NA,6,170752.022,490701.793,17.13111667,49.11716389,3,"Mouchnice, travnatý svah na SZ okraji obce, cca 0,7 km SSZ od kaple sv. Cyrila a Metoděje",NA,TKK089,"širokolistý trávník v horní části svahu, sečené, nora",NA,hlinitá,3,403531,0059-0070,7.62,N,34,THF,THE01
403591,1,NA,NA,16,280,270,17,-1,0,0,98,60,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,90,1980,NA,NA,NA,NA,170336.82,490803.18,17.06022778,49.13421667,0,"Nevojice - stráňka, cca 0,9 km JV od nádraží.",NA,NA,NA,NA,NA,0,0,NA,0,N,35,THE,THE
791352,2,20220813,NA,16,289,245,20,0,0,0,85,20,0,0,35,140,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,90,2022,square,N,NA,6,170337.455,490804.107,17.06040278,49.13447222,3,"Nevojice, stráňka cca 0,9 km VJV od nádraží",NA,TKK090,"stepní trávník ve střední části svahu, dost stařiny, juvenilní keře, suché dřevo, nora, divočáci",NA,hlinitá,3,403591,0077-0087,7.85,N,35,THE,THE
403647,1,NA,NA,16,280,270,15,-1,0,0,100,10,0,0,0,0,Y,Y,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,91,1980,NA,NA,NA,NA,170339.81,490751.92,17.06105833,49.13108889,0,"Nevojice - stráňka, cca 0,9 km JV od nádraží.",NA,NA,NA,NA,NA,0,0,NA,0,N,35,THE,THE
791353,2,20220813,NA,16,283,245,15,0,0,0,90,0,0,0,40,140,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,91,2022,square,N,NA,6,170335.747,490803.092,17.05992778,49.13419167,3,"Nevojice, stráňka cca 0,9 km VJV od nádraží",NA,TKK091,"stepní trávník v dolní části svahu, dost stařiny, juvenilní keře, suché dřevo, divočáci",NA,hlinitá,3,403647,0088-0100,7.8,N,35,THE,THE
